Time, Xo [counts], Vo [counts/s]
8037645
8037609
8037649
8037668
8037609
8038674
8039445
8038465
8039035
8037716
8037388
8036999
8036138
8036437
8036753
8036694
8036225
8036441
8036617
8036765
8036685
8036968
8037284
8037277
8037264
8037263
8037347
8038140
8039464
8037694
8038548
8038312
8038262
8038209
8038242
8038215
8038223
8038250
8038245
8038239
8038277
8064426
8360937
8432187
8433454
8434187
8454199
8502528
8551620
8546705
8547657
8557906
8558627
8549102
8541274
8545398
8557442
8558491
8556605
8556615
8562109
8568493
8564860
8562330
8562017
8561968
8561952
8561943
8561952
8561908
8561901
